"longitude","latitude"
-147.270833333333,66.8125
-112.270833333333,47.6875
-153.770833333333,42.4375
-128.395833333333,42.3541666666667
-99.6458333333333,33.4791666666667
-144.895833333333,67.1875
-144.145833333333,34.2708333333333
-136.979166666667,31.1458333333333
-97.6041666666667,55.2291666666667
-144.479166666667,51.7708333333333
-135.770833333333,42.6041666666667
-145.145833333333,61.2708333333333
-134.104166666667,30.1041666666667
-108.229166666667,44.0208333333333
-97.7708333333333,51.8125
-137.479166666667,34.8541666666667
-127.604166666667,47.8541666666667
-102.604166666667,51.2291666666667
-99.3541666666667,65.9791666666667
-102.770833333333,65.3125
-152.229166666667,30.7291666666667
-147.4375,51.6875
-131.3125,51.2291666666667
-102.145833333333,62.4375
-146.145833333333,52.7291666666667
-132.9375,49.0208333333333
-146.4375,46.2291666666667
-132.145833333333,37.5208333333333
-113.854166666667,50.4791666666667
-99.2291666666667,40.8541666666667
-114.6875,50.8541666666667
-145.895833333333,29.3541666666667
-139.0625,56.1041666666667
-139.8125,68.5208333333333
-123.020833333333,41.4375
-134.9375,66.0625
-137.770833333333,56.6458333333333
-146.645833333333,39.7291666666667
-156.5625,64.7291666666667
-106.645833333333,40.9791666666667
-155.479166666667,31.1458333333333
-154.6875,70.5208333333333
-120.9375,32.3541666666667
-138.9375,70.0208333333333
-119.604166666667,63.4791666666667
-138.729166666667,69.0208333333333
-142.354166666667,56.8541666666667
-118.9375,36.6041666666667
-115.1875,35.1875
-156.0625,38.1875
-129.6875,38.5208333333333
-104.0625,42.3958333333333
-147.854166666667,37.1458333333333
-153.6875,63.0625
-97.5625,47.5208333333333
-129.479166666667,30.2291666666667
-115.9375,32.6041666666667
-116.5625,60.6041666666667
-97.7291666666667,36.0625
-138.229166666667,45.5625
-141.145833333333,55.6041666666667
-137.8125,35.6041666666667
-141.1875,69.8125
-130.229166666667,52.6875
-129.145833333333,63.3541666666667
-115.3125,43.6458333333333
-110.229166666667,56.9791666666667
-142.8125,35.4791666666667
-99.3958333333333,49.0208333333333
-113.9375,56.1458333333333
-115.395833333333,38.8958333333333
-111.729166666667,47.9791666666667
-110.4375,56.1458333333333
-115.145833333333,41.8125
-135.6875,31.7291666666667
-97.6875,61.2291666666667
-132.395833333333,39.1041666666667
-112.3125,38.8125
-142.4375,43.8958333333333
-148.8125,54.1041666666667
-104.770833333333,47.9375
-149.0625,61.1875
